KEY,標準,標準_日本語,倉庫,倉庫_日本語,FUJI,FUJI_日本語,FUJI岡崎,FUJI豊田,FUJI豊田(機械加工),ELS,明和,東栄電機,NFT,東芝産業機器システム,フジプレアム,ツガル精密機器,富士電機,日本マイクロニクス
key.1Day,Day,1日,,,,,,,,,,,,,,,,
key.1Month,Month,1ヵ月,,,,,,,,,,,,,,,,
key.1Week,Week,1週間,,,,,,,,,,,,,,,,
key.AbsoluteDisplay,基準値を±表示,基準値を±表示,,,,,,,,,,,,,,,,
key.AcceptActualResult,Stock Actual Rersult,受入作業実績,Stock Actual Rersult,受入作業実績,,,,,,,,,,,,,,
key.Accepted,Accepted,受入,Accepted,受入,,,,,,,,,,,,,,
key.AcceptedIdentName,Accepted identify name,受入識別名,Accepted identify name,受入識別名,,,,,,,,,,,,,,
key.AcceptReport,Accept report,受入実績,,,,,,,,,,,,,,,,
key.AcceptReportFile,Accept report file,受入実績ファイル,,,,,,,,,,,,,,,,
key.AccessionCount,Accession count,入荷数,Accession count,入荷数,,,,,,,,,,,,,,
key.AccessionDate,Accession date,入荷日,Accession date,入荷日,,,,,,,,,,,,,,
key.AccessionState,State,状態,,,,,,,,,,,,,,,,
key.AccessionState.Appearance,Problem with appearance,外観に問題あり,,,,,,,,,,,,,,,,
key.AccessionState.Normal,,,,,,,,,,,,,,,,,,
key.AccessionState.Separate,Separate delivery,分割納品,,,,,,,,,,,,,,,,
key.AccessionState.Shortage,Shortage,欠品,,,,,,,,,,,,,,,,
key.AccumProgress,累積進捗,累積進捗,,,,,,,,,,,,,,,,
key.AchievementDegrees,Achievement degrees,達成度,,,,,,,,,,,,,,,,
key.AchievementRate,Achievement rate,達成率,b,,,,,,,,,,,,,,,
key.actualNum,Record number,実績件数,,,,,,,,,,,,,,,,
key.ActualOnly,Actual,実績のみ,,,,,,,,,,,,,,,,
key.ActualStatus,Actual Status ,実績ステータス,,,,,,,,,,,,,,,,
key.ActualTitle,Actual,実績,,,,,,,,,,,,,,,,
